Year,Film Italiani co-prodotti,Totale Film
1980,163,570
1981,103,473
1982,114,354
1983,110,353
1984,103,352
1985,89,354
1986,109,410
1987,116,484
1988,124,504
1989,117,512
1990,119,461
1991,129,479
1992,127,462
1993,106,381
1994,95,343
1995,75,342
1996,99,372
1997,87,380
1998,92,383
1999,108,420
2000,103,434
2001,103,407
2002,130,415
2003,117,440
2004,137,424
2005,138,424
2006,140,424
2007,142,425
2008,144,425
2009,146,425
2010,120,345
2011,125,360
2012,127,363
2013,161,453
2014,171,470
2015,187,473
2016,208,554
2017,218,536
2018,210,528
2019,193,495
2020,124,246
2021,153,353